mstrrecnbr,collision_ts,year,county,countystat,crash,crash_type,fatalities,non_motorists,commercial,fatal_c,nonmotor_c,truck_c,fatalc,serious_injuries,ped,bike,lighting,weather,first_harmful_event,latitude,longitude,in_city,src_layer
102652588,2020-02-14,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Parked Motor Vehicle,35.94198,-86.74846,True,Crashes_MPO_2020
102652646,2020-02-14,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.04051,-86.8172,False,Crashes_MPO_2020
102652698,2020-02-14,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Clear,Motor Vehicle-In-Transport On Same Roadway,35.93565,-86.82457,False,Crashes_MPO_2020
102652793,2020-02-14,2020,Davidson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,36.03789,-86.78443,False,Crashes_MPO_2020
102652930,2020-02-15,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Motion Outside Trafficway,36.05322,-86.71489,False,Crashes_MPO_2020
102653503,2020-02-15,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.03819,-86.80065,False,Crashes_MPO_2020
102653654,2020-02-15,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,35.93477,-86.82115,False,Crashes_MPO_2020
102653693,2020-02-15,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.04245,-86.71294,False,Crashes_MPO_2020
102653840,2020-02-15,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Parked Motor Vehicle,36.03575,-86.70634,False,Crashes_MPO_2020
102666022,2020-02-28,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,36.04056,-86.77079,False,Crashes_MPO_2020
102666043,2020-02-28,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Other Post/Pole Support,36.03311,-86.78656,True,Crashes_MPO_2020
102666350,2020-02-26,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.9668,-86.809,True,Crashes_MPO_2020
102666365,2020-02-29,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Building,36.02141,-86.7198,False,Crashes_MPO_2020
